blur_size,noise_level,HOG,PCA,accuracy,f1,precision,recall,f1_immune,precision_immune,recall_immune,f1_other,precision_other,recall_other,f1_stromal,precision_stromal,recall_stromal,f1_tumour,precision_tumour,recall_tumour,confidence_overall,confidence_immune_avg,confidence_immune_std,confidence_other_avg,confidence_other_std,confidence_stromal_avg,confidence_stromal_std,confidence_tumour_avg,confidence_tumour_std,count_pred_immune,count_pred_other,count_pred_stromal,count_pred_tumour,confusion_matrix
7,10,True,False,0.25,0.1,0.0625,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.25,1.0,0.5803550000000001,,,,,,,0.5803550000000001,0.04350372369119682,0,0,0,4000,"[[0, 0, 0, 1000], [0, 0, 0, 1000], [0, 0, 0, 1000], [0, 0, 0, 1000]]"
7,20,False,False,0.399,0.3555555388048704,0.42462028198752033,0.399,0.31309041835357626,0.48132780082987553,0.232,0.3668085106382979,0.31925925925925924,0.431,0.1824051654560129,0.47280334728033474,0.113,0.5599180607715945,0.4250907205806117,0.82,0.38384,0.32269709543568464,0.033269108194062494,0.3447925925925926,0.041233678485269924,0.33627615062761507,0.037449311575562874,0.43233799896319336,0.09517263685508139,482,1350,239,1929,"[[232, 231, 33, 504], [108, 431, 80, 381], [108, 555, 113, 224], [34, 133, 13, 820]]"
7,20,False,True,0.51175,0.49032129780073874,0.5251834855693899,0.51175,0.5464824120603015,0.7347972972972973,0.435,0.26588845654993515,0.37822878228782286,0.205,0.542230517965469,0.5083114610673666,0.581,0.6066838046272494,0.4793964016250725,0.826,0.4704825,0.46722972972972976,0.0918821288533829,0.37219557195571956,0.05204112887691396,0.5479352580927384,0.1595359829058363,0.45113755078351714,0.0828846242706693,592,542,1143,1723,"[[435, 103, 153, 309], [76, 205, 356, 363], [55, 139, 581, 225], [26, 95, 53, 826]]"
7,20,True,False,0.25,0.1,0.0625,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.25,1.0,0.6003775,,,,,,,0.6003775,0.0397439617269089,0,0,0,4000,"[[0, 0, 0, 1000], [0, 0, 0, 1000], [0, 0, 0, 1000], [0, 0, 0, 1000]]"
7,30,False,False,0.35025,0.315227127682258,0.3859907789797029,0.35025,0.40623916811091854,0.31087533156498676,0.586,0.32045779685264664,0.3062898814949863,0.336,0.0818926296633303,0.45454545454545453,0.045,0.45231891610213654,0.4722524483133841,0.434,0.3363325,0.3323501326259947,0.034834119318315995,0.33293527803099365,0.03514974354171729,0.31262626262626264,0.02222864920835265,0.35110990206746456,0.04330809105349368,1885,1097,99,919,"[[586, 162, 20, 232], [473, 336, 24, 167], [500, 369, 45, 86], [326, 230, 10, 434]]"
7,30,False,True,0.51775,0.49253742359601105,0.5200892663273029,0.5177499999999999,0.5622775800711743,0.6909620991253644,0.474,0.24813559322033898,0.38526315789473686,0.183,0.5451950523311132,0.5199637023593466,0.573,0.6145414687614176,0.48416810592976395,0.841,0.4703675,0.4649708454810496,0.09536602356345561,0.3741684210526316,0.049446335105866664,0.5459618874773141,0.15377031212904266,0.45084628670120896,0.0834650287825815,686,475,1102,1737,"[[474, 88, 148, 290], [100, 183, 337, 380], [73, 128, 573, 226], [39, 76, 44, 841]]"
7,30,True,False,0.25,0.1,0.0625,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.25,1.0,0.6033599999999999,,,,,,,0.6033599999999999,0.03799618928261096,0,0,0,4000,"[[0, 0, 0, 1000], [0, 0, 0, 1000], [0, 0, 0, 1000], [0, 0, 0, 1000]]"
9,0,False,False,0.4045,0.324842264332656,0.434085526124361,0.40449999999999997,0.019588638589618023,0.47619047619047616,0.01,0.2445019404915912,0.34615384615384615,0.189,0.5026910656620022,0.5442890442890443,0.467,0.5325874125874126,0.36970873786407765,0.952,0.6592874999999999,0.4366666666666666,0.17726314400411108,0.3973076923076923,0.06364597463586011,0.6327505827505828,0.18974559284865591,0.725495145631068,0.20307112311797623,21,546,858,2575,"[[10, 162, 129, 699], [5, 189, 245, 561], [6, 164, 467, 363], [0, 31, 17, 952]]"
9,0,False,True,0.496,0.46608921413436155,0.5200779476102091,0.496,0.49693669162695714,0.7782515991471215,0.365,0.22373806275579808,0.351931330472103,0.164,0.5413598960589,0.4774637127578304,0.625,0.602322206095791,0.47266514806378135,0.83,0.48889250000000006,0.4575479744136461,0.09004239904601034,0.3800643776824035,0.05131945871342051,0.5752406417112299,0.16259274651924974,0.46177676537585427,0.08996916863712116,469,466,1309,1756,"[[365, 112, 196, 327], [50, 164, 409, 377], [38, 115, 625, 222], [16, 75, 79, 830]]"
9,0,True,False,0.27675,0.20282478032207957,0.22553717765036646,0.27675,0.3956424857638029,0.26291543270812767,0.799,0.17018379850238258,0.26652452025586354,0.125,0.2454728370221328,0.3727087576374745,0.183,0.0,0.0,0.0,0.34653749999999994,0.35263244488318524,0.03930935700549043,0.32426439232409376,0.028006670517943866,0.33026476578411407,0.027453555686895885,0.26,0.0,3039,469,491,1,"[[799, 106, 95, 0], [744, 125, 131, 0], [671, 145, 183, 1], [825, 93, 82, 0]]"
9,1,False,False,0.404,0.3223497272860004,0.5379973143418237,0.404,0.013888888888888888,0.875,0.007,0.24451827242524918,0.36435643564356435,0.184,0.5035192203573362,0.5489964580873672,0.465,0.5274725274725275,0.36363636363636365,0.96,0.6609400000000001,0.315,0.015000000000000013,0.4005742574257426,0.06273207945513536,0.6156198347107438,0.18868853788488169,0.7263333333333333,0.20349122037001197,8,505,847,2640,"[[7, 143, 126, 724], [1, 184, 238, 577], [0, 156, 465, 379], [0, 22, 18, 960]]"
9,1,False,True,0.50125,0.4707848214180353,0.521827464324481,0.50125,0.5070611970410221,0.7741273100616016,0.377,0.22054794520547946,0.35,0.161,0.5482456140350878,0.48828125,0.625,0.6072845293905518,0.47490129723632263,0.842,0.4890425,0.45979466119096507,0.08894521611908324,0.37836956521739135,0.05174513574940167,0.574703125,0.1632484857976771,0.46394811054709534,0.08979692331705084,487,460,1280,1773,"[[377, 110, 191, 322], [54, 161, 397, 388], [38, 116, 625, 221], [18, 73, 67, 842]]"
