test_set,blur_size,noise_level,accuracy,f1,precision_overall,recall_overall,precision_immune,precision_other,precision_stromal,precision_tumour,recall_immune,recall_other,recall_stromal,recall_tumour,f1_immune,f1_other,f1_stromal,f1_tumour,confidence_overall,confidence_immune_avg,confidence_other_avg,confidence_stromal_avg,confidence_tumour_avg,confidence_immune_std,confidence_other_std,confidence_stromal_std,confidence_tumour_std,count_pred_immune,count_pred_other,count_pred_stromal,count_pred_tumour,confusion_matrix
1,9,1,0.29675,0.1854327865774252,0.4151411476854674,0.29675,0.38171262699564584,1.0,0.27885196374622356,0.0,0.263,0.001,0.923,0.0,0.3114268798105388,0.001998001998001998,0.4283062645011601,0.0,0.6479299,0.58502847,0.4752622,0.6610756,nan,0.08089909,0.0,0.09923689,nan,689,1,3310,0,"[[263, 0, 737, 0], [104, 1, 895, 0], [77, 0, 923, 0], [245, 0, 755, 0]]"
1,19,1,0.285,0.17027924736073538,0.16830560295790672,0.285,0.4041666666666667,0.0,0.26905574516496017,0.0,0.194,0.0,0.946,0.0,0.26216216216216215,0.0,0.41895482728077943,0.0,0.64969116,0.58319026,0.4657711,0.658979,nan,0.08784191,0.009491254,0.09329164,nan,480,4,3516,0,"[[194, 0, 806, 0], [61, 0, 939, 0], [51, 3, 946, 0], [174, 1, 825, 0]]"
1,0,3,0.25175,0.10404446536967729,0.2848005233998719,0.25175,0.8888888888888888,0.0,0.25031320471059887,0.0,0.008,0.0,0.999,0.0,0.015857284440039643,0.0,0.4003205770386696,0.0,0.789505,0.52349365,nan,0.7901049,nan,0.026895614,nan,0.074724354,nan,9,0,3991,0,"[[8, 0, 992, 0], [0, 0, 1000, 0], [1, 0, 999, 0], [0, 0, 1000, 0]]"
1,1,3,0.251,0.10210821574358414,0.22926055750292104,0.251,0.6666666666666666,0.0,0.25037556334501754,0.0,0.004,0.0,1.0,0.0,0.007952286282306162,0.0,0.4004805766920304,0.0,0.7896289,0.5233482,nan,0.790029,nan,0.013518791,nan,0.07607699,nan,6,0,3994,0,"[[4, 0, 996, 0], [1, 0, 999, 0], [0, 0, 1000, 0], [1, 0, 999, 0]]"
1,3,3,0.25025,0.1009950248756219,0.16251564455569462,0.25025,0.4,0.0,0.2500625782227785,0.0,0.002,0.0,0.999,0.0,0.003980099502487562,0.0,0.4,0.0,0.78893,0.5431093,nan,0.7892376,nan,0.0261323,nan,0.07585759,nan,5,0,3995,0,"[[2, 0, 998, 0], [0, 0, 1000, 0], [1, 0, 999, 0], [2, 0, 998, 0]]"
1,5,3,0.25175,0.10363247863247864,0.28137525050100204,0.25175,0.875,0.0,0.250501002004008,0.0,0.007,0.0,1.0,0.0,0.013888888888888888,0.0,0.40064102564102566,0.0,0.79106593,0.5251951,nan,0.7915987,nan,0.013068172,nan,0.07342154,nan,8,0,3992,0,"[[7, 0, 993, 0], [0, 0, 1000, 0], [0, 0, 1000, 0], [1, 0, 999, 0]]"
1,7,3,0.251,0.1025402548840049,0.21881262525050102,0.251,0.625,0.0,0.250250501002004,0.0,0.005,0.0,0.999,0.0,0.00992063492063492,0.0,0.40024038461538464,0.0,0.7902173,0.5325958,nan,0.7907336,nan,0.022412522,nan,0.072852276,nan,8,0,3992,0,"[[5, 0, 995, 0], [0, 0, 1000, 0], [1, 0, 999, 0], [2, 0, 998, 0]]"
1,9,3,0.25125,0.10258766228915484,0.3125782227784731,0.25125,1.0,0.0,0.2503128911138924,0.0,0.005,0.0,1.0,0.0,0.009950248756218905,0.0,0.4004004004004004,0.0,0.79125315,0.53212166,nan,0.79157746,nan,0.023494624,nan,0.07275763,nan,5,0,3995,0,"[[5, 0, 995, 0], [0, 0, 1000, 0], [0, 0, 1000, 0], [0, 0, 1000, 0]]"
1,19,3,0.2505,0.10105704499469373,0.22921357684930363,0.2505,0.6666666666666666,0.0,0.2501876407305479,0.0,0.002,0.0,1.0,0.0,0.003988035892323031,0.0,0.40024014408645187,0.0,0.8025246,0.5078618,nan,0.80274576,nan,0.005927498,nan,0.06604387,nan,3,0,3997,0,"[[2, 0, 998, 0], [1, 0, 999, 0], [0, 0, 1000, 0], [0, 0, 1000, 0]]"
1,0,5,0.2505,0.10105704499469373,0.22921357684930363,0.2505,0.6666666666666666,0.0,0.2501876407305479,0.0,0.002,0.0,1.0,0.0,0.003988035892323031,0.0,0.40024014408645187,0.0,0.82023823,0.53479195,nan,0.8204525,nan,0.025964886,nan,0.07097732,nan,3,0,3997,0,"[[2, 0, 998, 0], [1, 0, 999, 0], [0, 0, 1000, 0], [0, 0, 1000, 0]]"
