test_set,blur_size,noise_level,accuracy,f1,precision_overall,recall_overall,precision_immune,precision_other,precision_stromal,precision_tumour,recall_immune,recall_other,recall_stromal,recall_tumour,f1_immune,f1_other,f1_stromal,f1_tumour,confidence_overall,confidence_immune_avg,confidence_other_avg,confidence_stromal_avg,confidence_tumour_avg,confidence_immune_std,confidence_other_std,confidence_stromal_std,confidence_tumour_std,count_pred_immune,count_pred_other,count_pred_stromal,count_pred_tumour,confusion_matrix
1,0,0,0.607,0.5685150911771045,0.5717247794326263,0.607,0.6368542791056284,0.4175824175824176,0.5146406388642414,0.7178217821782178,0.826,0.152,0.58,0.87,0.7191989551589029,0.2228739002932551,0.5453690644099671,0.786618444846293,0.7345369,0.7545958,0.6192333,0.7174507,0.7635881,0.17143495,0.16785038,0.17192039,0.17272316,1297,364,1127,1212,"[[826, 28, 106, 40], [236, 152, 406, 206], [207, 117, 580, 96], [28, 67, 35, 870]]"
1,1,0,0.607,0.5685150911771045,0.5717247794326263,0.607,0.6368542791056284,0.4175824175824176,0.5146406388642414,0.7178217821782178,0.826,0.152,0.58,0.87,0.7191989551589029,0.2228739002932551,0.5453690644099671,0.786618444846293,0.7345369,0.7545958,0.6192333,0.7174507,0.7635881,0.17143495,0.16785038,0.17192039,0.17272316,1297,364,1127,1212,"[[826, 28, 106, 40], [236, 152, 406, 206], [207, 117, 580, 96], [28, 67, 35, 870]]"
1,3,0,0.4975,0.431930455049452,0.5463836728280018,0.4975,0.3832477281706835,0.3623188405797101,0.7020648967551623,0.7379032258064516,0.97,0.05,0.238,0.732,0.5494194279241008,0.0878734622144112,0.3554891710231516,0.7349397590361446,0.72505903,0.76235616,0.55043924,0.5818366,0.7031344,0.17581598,0.14265124,0.12624851,0.16305552,2531,138,339,992,"[[970, 4, 5, 21], [687, 50, 94, 169], [633, 59, 238, 70], [241, 25, 2, 732]]"
1,5,0,0.3825,0.295350077607135,0.5255721630277252,0.3825,0.3027803238619004,0.3555555555555555,0.6626506024096386,0.7813021702838063,0.991,0.016,0.055,0.468,0.4638427334425462,0.0306220095693779,0.1015697137580794,0.5853658536585366,0.7718512,0.79877144,0.5630155,0.5652836,0.66906786,0.15871696,0.124377914,0.10946011,0.14299071,3273,45,83,599,"[[991, 1, 1, 7], [873, 16, 26, 85], [888, 18, 55, 39], [521, 10, 1, 468]]"
1,7,0,0.3055,0.1967947418002736,0.4749629779495941,0.3055,0.2717361678931589,0.2727272727272727,0.6571428571428571,0.6982456140350877,0.997,0.003,0.023,0.199,0.4270721781966159,0.0059347181008902,0.0444444444444444,0.309727626459144,0.8211265,0.83885825,0.5788652,0.56705576,0.6334052,0.13672447,0.14801623,0.101064615,0.1327431,3669,11,35,285,"[[997, 1, 0, 2], [937, 3, 12, 48], [937, 4, 23, 36], [798, 3, 0, 199]]"
1,9,0,0.286,0.1671845818224588,0.4790348453422737,0.286,0.2646512861309997,0.4285714285714285,0.5666666666666667,0.65625,0.998,0.003,0.017,0.126,0.418360930622511,0.0059582919563058,0.033009708737864,0.2114093959731543,0.83728737,0.8506528,0.592023,0.5425583,0.6297751,0.1318169,0.08334471,0.109561615,0.12550138,3771,7,30,192,"[[998, 1, 0, 1], [953, 3, 13, 31], [946, 3, 17, 34], [874, 0, 0, 126]]"
1,19,0,0.2585,0.1195648728349292,0.3003067391338484,0.2585,0.2548668032786885,0.0,0.5555555555555556,0.3908045977011494,0.995,0.0,0.005,0.034,0.4057911908646003,0.0,0.0099108027750247,0.062557497700092,0.83088964,0.8377451,0.0,0.5184449,0.555588,0.11463502,0.0,0.081997566,0.07076924,3904,0,9,87,"[[995, 0, 0, 5], [984, 0, 4, 12], [959, 0, 5, 36], [966, 0, 0, 34]]"
1,0,1,0.3135,0.2020588185746414,0.1747924672381515,0.3135,0.4105392156862745,0.0,0.2886306532663316,0.0,0.335,0.0,0.919,0.0,0.368942731277533,0.0,0.4392925430210325,0.0,0.64976156,0.582905,0.0,0.6668956,0.0,0.07253773,0.0,0.10220282,0.0,816,0,3184,0,"[[335, 0, 665, 0], [135, 0, 865, 0], [81, 0, 919, 0], [265, 0, 735, 0]]"
1,1,1,0.3085,0.1983870471265429,0.1702244878994251,0.3085,0.3949579831932773,0.0,0.2859399684044234,0.0,0.329,0.0,0.905,0.0,0.358974358974359,0.0,0.4345738295318127,0.0,0.6501276,0.58035547,0.52969646,0.668567,0.0,0.074121,0.037470028,0.1019706,0.0,833,2,3165,0,"[[329, 0, 671, 0], [136, 0, 864, 0], [93, 2, 905, 0], [275, 0, 725, 0]]"
1,3,1,0.3195,0.2076474068662117,0.1781229202987772,0.3195,0.4203747072599532,0.0,0.2921169739351557,0.0,0.359,0.0,0.919,0.0,0.3872707659115426,0.0,0.4433188615533044,0.0,0.64816225,0.58030677,0.0,0.666582,0.0,0.076450355,0.0,0.10151063,0.0,854,0,3146,0,"[[359, 0, 641, 0], [149, 0, 851, 0], [81, 0, 919, 0], [265, 0, 735, 0]]"
1,5,1,0.31625,0.2053843117815763,0.1762207616729602,0.31625,0.4154929577464789,0.0,0.2893900889453621,0.0,0.354,0.0,0.911,0.0,0.3822894168466522,0.0,0.4392478302796528,0.0,0.6484347,0.58510596,0.0,0.6655745,0.0,0.078619,0.0,0.100207835,0.0,852,0,3148,0,"[[354, 0, 646, 0], [130, 0, 870, 0], [89, 0, 911, 0], [279, 0, 721, 0]]"
1,7,1,0.32,0.2086767495806095,0.4293528833490299,0.32,0.4260355029585799,1.0,0.2913760304375396,0.0,0.36,0.001,0.919,0.0,0.3902439024390244,0.0019980019980019,0.4424650938854116,0.0,0.64738274,0.5872778,0.37488663,0.6635721,0.0,0.07646027,0.0,0.09897673,0.0,845,1,3154,0,"[[360, 0, 640, 0], [137, 1, 862, 0], [81, 0, 919, 0], [267, 0, 733, 0]]"
1,9,1,0.3225,0.2111245243647164,0.183579252320104,0.3225,0.4433734939759036,0.0,0.2909435153045124,0.0,0.368,0.0,0.922,0.0,0.4021857923497268,0.0,0.4423123051091389,0.0,0.6472616,0.5877817,0.5195292,0.6628804,0.0,0.07731213,0.0,0.098565,0.0,830,1,3169,0,"[[368, 0, 632, 0], [129, 0, 871, 0], [77, 1, 922, 0], [256, 0, 744, 0]]"
1,19,1,0.3015,0.1894130776442357,0.1799313810287092,0.3015,0.4425675675675675,0.0,0.2771579565472695,0.0,0.262,0.0,0.944,0.0,0.329145728643216,0.0,0.4285065819337267,0.0,0.64574236,0.5821981,0.4665208,0.6568923,0.0,0.0834182,0.019718751,0.09337527,0.0,592,2,3406,0,"[[262, 0, 738, 0], [86, 0, 914, 0], [54, 2, 944, 0], [190, 0, 810, 0]]"
1,0,3,0.2515,0.103153565416759,0.2293076087864361,0.2515,0.6666666666666666,0.0,0.2505637684790779,0.0,0.006,0.0,1.0,0.0,0.0118929633300297,0.0,0.4007212983370066,0.0,0.7874868,0.52201843,0.0,0.78808546,0.0,0.013246782,0.0,0.077028796,0.0,9,0,3991,0,"[[6, 0, 994, 0], [1, 0, 999, 0], [0, 0, 1000, 0], [2, 0, 998, 0]]"
1,1,3,0.251,0.1025402548840049,0.218812625250501,0.251,0.625,0.0,0.250250501002004,0.0,0.005,0.0,0.999,0.0,0.0099206349206349,0.0,0.4002403846153846,0.0,0.7866692,0.5328289,0.0,0.78717786,0.0,0.03049515,0.0,0.078064136,0.0,8,0,3992,0,"[[5, 0, 995, 0], [0, 0, 1000, 0], [1, 0, 999, 0], [2, 0, 998, 0]]"
1,3,3,0.25125,0.1034985942546697,0.2083960213975259,0.25125,0.5833333333333334,0.0,0.2502507522567703,0.0,0.007,0.0,0.998,0.0,0.0138339920948616,0.0,0.4001603849238171,0.0,0.7879073,0.52396756,0.0,0.78870153,0.0,0.028374588,0.0,0.07652119,0.0,12,0,3988,0,"[[7, 0, 993, 0], [1, 0, 999, 0], [2, 0, 998, 0], [2, 0, 998, 0]]"
1,5,3,0.2515,0.103548925230926,0.2570227456220942,0.2515,0.7777777777777778,0.0,0.2503132047105988,0.0,0.007,0.0,0.999,0.0,0.0138751238850346,0.0,0.4003205770386696,0.0,0.7890238,0.5377872,0.0,0.78959036,0.0,0.04764138,0.0,0.07743718,0.0,9,0,3991,0,"[[7, 0, 993, 0], [0, 0, 1000, 0], [1, 0, 999, 0], [1, 0, 999, 0]]"
