blur_size,noise_level,accuracy,f1,precision,recall,f1_immune,precision_immune,recall_immune,f1_other,precision_other,recall_other,f1_stromal,precision_stromal,recall_stromal,f1_tumour,precision_tumour,recall_tumour,confidence_overall,confidence_immune_avg,confidence_immune_std,confidence_other_avg,confidence_other_std,confidence_stromal_avg,confidence_stromal_std,confidence_tumour_avg,confidence_tumour_std,count_pred_immune,count_pred_other,count_pred_stromal,count_pred_tumour,confusion_matrix
0,10,0.51825,0.5035577889192997,0.5196613062642716,0.51825,0.5691404164442072,0.6105383734249714,0.533,0.32885085574572126,0.4229559748427673,0.269,0.5138211382113821,0.5609467455621302,0.474,0.6024187452758881,0.4842041312272175,0.797,0.42986250000000004,0.44924398625429557,0.0968359758612164,0.36371069182389937,0.04930719338643364,0.5115266272189349,0.15413331143318135,0.4032199270959903,0.06419013366758165,873,636,845,1646,"[[533, 100, 105, 262], [134, 269, 238, 359], [123, 175, 474, 228], [83, 92, 28, 797]]"
0,20,0.5165,0.499685134800912,0.5143993462632543,0.5165,0.5789197692711064,0.6085997794928335,0.552,0.3030682529743269,0.4053601340033501,0.242,0.5159201295196978,0.5603751465416178,0.478,0.6008323874385169,0.48326232501521604,0.794,0.431825,0.452348401323043,0.09638846605997899,0.3625293132328308,0.04890219852042815,0.5126260257913248,0.15291738071587171,0.40372489348752283,0.0632917466408719,907,597,853,1643,"[[552, 94, 95, 259], [146, 242, 251, 361], [123, 170, 478, 229], [86, 91, 29, 794]]"
0,30,0.5065,0.4838677849073051,0.49641701201863,0.5065,0.5701624815361891,0.5615906886517944,0.579,0.25891677675033026,0.38132295719844356,0.196,0.5060109289617486,0.5578313253012048,0.463,0.6003809523809523,0.4849230769230769,0.788,0.43573749999999994,0.4579437439379243,0.09880685259356047,0.3623346303501946,0.04698700962087698,0.5123734939759036,0.14697440239742868,0.4057230769230769,0.0641803966457786,1031,514,830,1625,"[[579, 82, 93, 246], [186, 196, 249, 369], [160, 155, 463, 222], [106, 81, 25, 788]]"
1,1,0.51425,0.49756575901953987,0.5149885817942611,0.5142500000000001,0.5741728922091782,0.6155606407322655,0.538,0.30692451653150343,0.4079601990049751,0.246,0.5100598151169113,0.5589988081048868,0.469,0.5991058122205664,0.47743467933491684,0.804,0.43091500000000005,0.4502288329519451,0.09666139817088137,0.3634825870646766,0.04771888673454543,0.5130274135876043,0.15381640980562394,0.40412707838479806,0.06452372929440756,874,603,839,1684,"[[538, 101, 100, 261], [137, 246, 237, 380], [121, 171, 469, 239], [78, 85, 33, 804]]"
1,3,0.515,0.4987467668774499,0.5164075522369925,0.515,0.5732551944592434,0.61345496009122,0.538,0.30970149253731344,0.4095394736842105,0.249,0.5141921397379913,0.5661057692307693,0.471,0.5978382407752516,0.47653000594177064,0.802,0.43085500000000004,0.44939566704675027,0.09686523160613592,0.36299342105263155,0.04766508662567646,0.5153125000000001,0.1531673557981972,0.40395721925133693,0.06463961486376787,877,608,832,1683,"[[538, 104, 96, 262], [136, 249, 235, 380], [122, 168, 471, 239], [81, 87, 30, 802]]"
1,5,0.5145,0.4977163620687485,0.514705193136712,0.5145,0.5718849840255591,0.6116173120728929,0.537,0.3076923076923077,0.40522875816993464,0.248,0.5087527352297593,0.5615942028985508,0.465,0.6025354213273676,0.4803804994054697,0.808,0.430925,0.449373576309795,0.09689810694057892,0.3632679738562091,0.04835638483921509,0.5151449275362319,0.1538125883318481,0.4044530321046373,0.06438378348023395,878,612,828,1682,"[[537, 103, 100, 260], [140, 248, 233, 379], [120, 180, 465, 235], [81, 81, 30, 808]]"
1,10,0.516,0.49970206540734163,0.5166905502996229,0.516,0.5721840296139609,0.6071829405162739,0.541,0.314410480349345,0.417910447761194,0.252,0.5125136017410229,0.5620525059665871,0.471,0.5997001499250375,0.47961630695443647,0.8,0.43090750000000005,0.44742985409652075,0.09743174747613101,0.36386401326699835,0.04904218323509026,0.5134128878281622,0.15379619196993408,0.4048681055155875,0.06421295777933486,891,603,838,1668,"[[541, 101, 101, 257], [142, 252, 234, 372], [122, 168, 471, 239], [86, 82, 32, 800]]"
1,20,0.518,0.49826505689804645,0.5151054789517963,0.518,0.5807469752761705,0.6126526082130965,0.552,0.2895579756566304,0.4028520499108734,0.226,0.5135427952329361,0.5602836879432624,0.474,0.6092124814264487,0.4846335697399527,0.82,0.43289750000000005,0.4537846836847947,0.09647732234921655,0.3662210338680927,0.04806020792814875,0.5136406619385342,0.15247054035193802,0.40351063829787237,0.06483816372692167,901,561,846,1692,"[[552, 97, 95, 256], [150, 226, 250, 374], [120, 164, 474, 242], [79, 74, 27, 820]]"
1,30,0.50825,0.48565896441475886,0.5009505324651442,0.50825,0.5642292490118577,0.5576171875,0.571,0.2717031146454606,0.4027504911591356,0.205,0.502473886750962,0.557997557997558,0.457,0.6042296072507553,0.4854368932038835,0.8,0.436795,0.4594140625,0.09845708355545625,0.36068762278978383,0.047842639324883356,0.5136752136752137,0.14922280383840097,0.40804004854368936,0.06566671400453189,1024,509,819,1648,"[[571, 86, 94, 249], [185, 205, 243, 367], [156, 155, 457, 232], [112, 63, 25, 800]]"
3,1,0.511,0.4935365808036676,0.5112815433215757,0.511,0.5704622322435174,0.6537467700258398,0.506,0.2835913312693498,0.3723577235772358,0.229,0.5140771637122002,0.5370370370370371,0.493,0.6060155959896026,0.4819846426461902,0.816,0.43851249999999997,0.45764857881136956,0.09479694342370089,0.365739837398374,0.0493344051847482,0.5184531590413944,0.15549206273951022,0.41285292380389843,0.06783253230044785,774,615,918,1693,"[[506, 114, 106, 274], [114, 229, 282, 375], [95, 184, 493, 228], [59, 88, 37, 816]]"
