Blur,Contrast,hog,pca,accuracy,f1,precision,recall,f1_class_0,f1_class_1,f1_class_2,f1_class_3,avg_conf,avg_conf_class_0,avg_conf_class_1,avg_conf_class_2,avg_conf_class_3
10,2.0,False,True,0.25,0.1,0.0625,0.25,0.4,0.0,0.0,0.0,0.4703749999999998,0.4703749999999998,,,
0,0.0,True,False,0.3755,0.36920645539251845,0.36655072526254356,0.3755,0.49226441631504925,0.25775401069518716,0.2987012987012987,0.42810609585853887,0.3187025,0.3209885260370697,0.3079540229885057,0.31515330188679247,0.32720626631853783
1,0.0,True,False,0.3265,0.29593188192541725,0.33329597508199005,0.3265,0.44514701233006637,0.2567791920309906,0.2796352583586626,0.20216606498194944,0.32166,0.3308414239482201,0.31083023543990085,0.31249612403100774,0.30812987012987014
3,0.0,True,False,0.264,0.15426381422522556,0.2379888930887099,0.264,0.4012972972972973,0.10569777043765483,0.11006018916595013,0.0,0.36928750000000005,0.3736744827586207,0.32606635071090045,0.3282208588957055,0.28
5,0.0,True,False,0.27125,0.16524465851902617,0.25029012761604397,0.27125,0.4060183166157872,0.10693400167084377,0.14802631578947367,0.0,0.37023249999999996,0.3747099832682655,0.3311167512690356,0.3319444444444444,0.29
7,0.0,True,False,0.27025,0.17064452857124024,0.22376416100561541,0.27025,0.40475656271034327,0.08994276369582993,0.18787878787878787,0.0,0.36576749999999997,0.3710326873011281,0.3280269058295964,0.33518749999999997,
10,0.0,True,False,0.27825,0.1968373804867449,0.2270258526279284,0.27825,0.40240384615384617,0.14358974358974358,0.24135593220338983,0.0,0.35760000000000003,0.3632088607594936,0.3326027397260274,0.33949473684210524,
0,1.25,True,False,0.3745,0.3674812740414925,0.3646488279490444,0.3745,0.4983293556085919,0.25998934469898777,0.2738225629791895,0.43778383287920075,0.3191175,0.32221917808219175,0.30850627137970354,0.31418886198547213,0.3274209650582362
0,1.5,True,False,0.381,0.371178002824524,0.3691046950022407,0.381,0.5006669630947087,0.28234031132581855,0.27033218785796104,0.43137254901960786,0.32116999999999996,0.32811849479583666,0.30679026651216684,0.3125201072386059,0.33008756567425573
0,1.75,True,False,0.37075,0.35563441936313883,0.3577954125338732,0.37075,0.49880287310454907,0.24834437086092714,0.27001194743130225,0.40537848605577687,0.32427750000000005,0.33570385126162017,0.3070320197044335,0.31209198813056377,0.32924603174603173
0,2.0,True,False,0.36775,0.3445026573033385,0.3491896712327015,0.36775,0.5187106335679882,0.23828802776171198,0.23902439024390243,0.38198757763975155,0.32669999999999993,0.3414420247204238,0.30666666666666664,0.311859375,0.32568669527897
1,1.25,True,False,0.3305,0.29999986034756326,0.3368644356932184,0.3305,0.4522232734153264,0.25252525252525254,0.27412415488629377,0.2211267605633803,0.3213675,0.3317825886688162,0.30846547314578004,0.31103668261563,0.3069761904761905
1,1.5,True,False,0.307,0.2630830596298764,0.30291218197525166,0.307,0.44705192138457023,0.2127659574468085,0.2188529993408042,0.1736613603473227,0.3249475,0.3348028227480282,0.3070809248554913,0.3111798839458414,0.31379581151832464
1,1.75,True,False,0.30975,0.2597618884486912,0.3042517218590281,0.30975,0.45232690124858116,0.21667681071211198,0.22373806275579808,0.14630577907827358,0.32974000000000003,0.34170760697305863,0.3074183514774495,0.3098927038626609,0.31174386920980923
1,2.0,True,False,0.3,0.23914250910155646,0.29464370255024036,0.3,0.4456318461127438,0.19263089851325146,0.19368723098995697,0.12462006079027356,0.33533,0.34682464454976303,0.30917733089579524,0.3096446700507614,0.3128481012658228
3,1.25,True,False,0.25675,0.13561711696166992,0.200638791590965,0.25675,0.4030644818046393,0.061802575107296136,0.07760141093474426,0.0,0.37118,0.3751203027845364,0.323030303030303,0.32261194029850737,0.31
